Student ID,Name,Age,Gender,Branch,Average GPA,Backlogs,Attendance (%),Clubs,Skills,Internship Done,Internship Domain,Placement Status,Placement Domain,CTC (LPA),Alumni Path,Sem1 GPA,Sem2 GPA,Sem3 GPA,Sem4 GPA,Sem5 GPA,Sem6 GPA,Sem7 GPA,Sem8 GPA
b37412a3-fa5c-40ca-b087-7109a47482d7,Amit,21.0,Male,MECH,6.99,0.0,70.45,"Literary Society, Robotics","C++, Machine Learning, Python, Java",Yes,Consulting,Not Placed,,0.0,,8.34,5.24,6.06,7.81,7.18,7.04,8.26,5.99
65001423-faeb-4d19-a550-8ea26133a34d,Tina Ballard,19.0,Male,ECE,6.46,0.0,65.45,"Literary Society, Coding Club","C++, SQL, Web Development",No,,Not Placed,,0.0,,7.37,6.37,6.45,5.99,6.55,6.99,6.46,5.52
228aaf1d-8710-4c8d-bfec-001b0df01f34,Meena,19.0,Female,CIVIL,7.08,0.0,84.79,Literary Society,"Data Science, SQL, Machine Learning",Yes,Research,Not Placed,,0.0,,5.79,8.82,7.03,6.92,7.67,6.01,7.75,6.62
1aa67474-e200-4157-ad54-c95aaa4d52a8,Christopher Morales,23.0,Male,ECE,6.92,2.0,62.26,"Coding Club, Entrepreneurship Cell","Python, SQL, Java",No,,Placed,Core Engineering,5.89,Research,7.9,4.26,8.19,7.52,8.32,6.8,4.94,7.43
5122db4a-14c8-44d7-b2f4-e869f69d3dd7,Siddharth,20.0,Male,EEE,7.09,0.0,97.12,Robotics,"C++, SQL, Java, Python",Yes,Higher Studies,Not Placed,,0.0,,6.86,6.24,7.64,7.15,5.91,6.18,8.19,8.54
28dd6ff3-6391-4421-ba38-3c3164b96252,Siddharth,19.0,Male,MECH,7.36,0.0,62.56,Sports Club,"SQL, Python",Yes,Research,Placed,Higher Studies,6.05,Startup,5.44,9.08,8.13,8.46,7.03,6.64,6.33,7.81
5c375254-a8fc-4690-a9b1-c4a1da221b85,Alicia Dillon,18.0,Female,MECH,7.06,2.0,82.62,"Entrepreneurship Cell, Robotics, Cultural Club","Web Development, C++, Machine Learning",No,,Not Placed,,0.0,,7.12,7.23,8.52,7.29,8.39,6.22,5.4,6.35
1090fccc-de58-401b-9cb7-b64f927e5e08,Rahul,23.0,Male,IT,6.67,0.0,97.72,"Literary Society, Cultural Club, Sports Club","C++, Java, Web Development, SQL, Python",Yes,Software,Placed,Higher Studies,8.49,Higher Studies,6.74,6.63,8.27,6.71,4.34,7.35,6.6,6.71
3f87e362-cf8d-446a-bc2c-bb0ddd334cc7,Richard Rodriguez,18.0,Male,EEE,7.34,1.0,74.15,"Entrepreneurship Cell, Literary Society, Cultural Club","Python, SQL, C++, Web Development, Java",No,,Not Placed,,0.0,,7.91,6.08,7.71,5.67,9.76,6.78,6.68,8.14
db0f4094-ae51-472d-b7a5-5c76fa4e4399,Anil,18.0,Male,CSE,7.19,0.0,76.12,"Coding Club, Literary Society, Sports Club","Machine Learning, Data Science, Python, SQL, C++",Yes,Consulting,Not Placed,,0.0,,7.08,6.9,7.92,6.71,7.27,7.32,6.33,7.99
e87d1c78-e7c4-41c7-8049-7b717d106c60,Anna Henderson,23.0,Female,EEE,7.17,1.0,73.88,Coding Club,"C++, Python, Machine Learning",Yes,Hardware,Placed,Higher Studies,15.54,Research,9.54,7.52,6.41,6.87,8.07,6.42,7.85,4.68
e2eac79e-9c04-46b5-ba30-4ee023c04f78,Neha,23.0,Female,CSE,7.33,2.0,91.85,Literary Society,"C++, SQL, Web Development, Java",Yes,Consulting,Not Placed,,0.0,,8.31,7.86,6.03,7.36,8.96,5.18,6.81,8.16
1750bd26-bcfc-4af5-9881-a1f0fbbb523a,Pooja,23.0,Female,CIVIL,7.5,1.0,99.1,"Coding Club, Robotics, Sports Club","Java, Python, Web Development, Data Science, C++",No,,Placed,Research,17.51,Job,6.68,7.02,6.66,5.36,8.09,7.9,8.99,9.28
aa604892-3926-42e9-9b58-eb49c9784b52,Casey Parker,21.0,Female,ECE,6.72,0.0,84.32,"Entrepreneurship Cell, Sports Club","Machine Learning, C++, Data Science, Web Development, SQL",Yes,Software,Not Placed,,0.0,,7.89,7.13,5.97,6.8,5.01,8.3,6.18,6.47
f0cd7f05-ea87-455e-a382-95d31e0ef546,Lucas Robinson,20.0,Female,ECE,6.22,1.0,92.43,Sports Club,"Data Science, Machine Learning, Java",No,,Placed,Higher Studies,19.12,Startup,7.49,4.15,6.14,5.87,6.74,6.46,7.8,5.14
c24369e7-2387-4af6-94c3-a832b231c60b,Joan Smith,23.0,Male,EEE,6.52,0.0,62.63,"Robotics, Entrepreneurship Cell, Cultural Club","Data Science, C++, Python",Yes,Hardware,Placed,Software,18.08,Startup,6.69,6.03,6.17,9.18,6.82,5.64,5.23,6.38
63b664f4-0452-4779-90ff-de646edaba8c,Kimberly May,19.0,Male,EEE,7.06,2.0,65.6,"Coding Club, Cultural Club","SQL, Java, Data Science, Machine Learning, Web Development",No,,Placed,Core Engineering,8.92,Job,7.62,5.89,6.81,7.8,7.59,5.84,7.37,7.56
7a8d03aa-782a-45e0-88ca-765192f5df7b,Cody Williams,21.0,Female,MECH,7.23,0.0,75.04,"Robotics, Sports Club, Literary Society","Python, Data Science",No,,Placed,Hardware,12.35,Research,5.99,6.93,7.83,6.97,9.36,7.42,7.23,6.09
6d59c708-298e-45cc-a9e6-eaa3024e260c,Priya,22.0,Female,MECH,6.49,0.0,71.11,Cultural Club,"Web Development, Python, SQL, C++",Yes,Research,Not Placed,,0.0,,8.16,7.12,6.52,7.78,4.62,5.56,6.51,5.66
